filename,status,date,type,session_id,error
 Did It First.mp3,completed,2026-01-23 17:58:50,Full Analysis,813f61ee,
BTS - Stay Gold.mp3,completed,2026-01-24 13:53:37,Full Analysis,916a32d7,
Porter Robinson - Look at the Sky.mp3,completed,2026-01-24 13:58:29,Full Analysis,916a32d7,
1 peu trop court.mp3,processing,2026-01-24 20:28:32,Pending,916a32d7,
A Nos Boots.mp3,completed,2026-01-24 17:40:09,Full Analysis,916a32d7,
Abadou.mp3,completed,2026-01-24 17:44:01,Full Analysis,916a32d7,
Achevez-moi.mp3,completed,2026-01-24 17:49:37,Full Analysis,916a32d7,
3andi Mehaina.mp3,completed,2026-01-24 20:31:17,Full Analysis,8be2b3d3,
À la base.mp3,completed,2026-01-24 20:35:23,Full Analysis,8be2b3d3,
A Otro Lado.mp3,completed,2026-01-24 20:41:11,Full Analysis,8be2b3d3,
ABDELKADER (Live).mp3,completed,2026-01-24 20:45:25,Full Analysis,8be2b3d3,
La mousse a Riton.mp3,completed,2026-01-29 11:33:57,Main,b794eede,
Test des micros.mp3,completed,2026-01-29 11:35:00,Main,b794eede,
